Umbrella Cell Type,Specific Cell Type,Brain Region,Gene Symbol (Human),Gene Symbol (Mouse),Species,Age,Statistical Criterion,Specificity,Comparison,Platform,Citation,Tag,CellType_Primary
Astrocyte,All,Temporal Lobe,AGXT2L1,NA,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,FGFR3,Fgfr1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,AQP4,Aqp4,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,GJA1,Gja6,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,AGT,Agt,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,MGST1,Mgst1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,SLC39A12,Slc39a12,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,SLC25A18,Slc25a22,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,GPR98,NA,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,SLCO1C1,Slco1b2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,SDC4,Sdc4,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,GPR37L1,Gpr37l1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,ACSBG1,1700061G19Rik,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,SFXN5,Sfxn5,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,BMPR1B,Bmpr1a,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,ATP13A4,Atp13a2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,RANBP3L,Ranbp3l,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,GJB6,Gjb2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,GFAP,Gfap,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,PRODH,Prodh,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Astrocyte,All,Temporal Lobe,SLC4A4,Slc4a10,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Astrocyte_All_Darmanis_PNAS_2015,Astrocyte
Endothelial,All,Temporal Lobe,IFITM1,2200002J24Rik,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,ITIH5,Itih5,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,APOLD1,Apold1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,TM4SF1,Tm4sf1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,PTRF,Ptrf,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,ANXA1,Anxa1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,PEAR1,Pear1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,SDPR,Sdpr,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,GNG11,Gng11,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,FOXC1,Foxc1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,ESAM,Esam,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,IFI27,Ifi27,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,GPR116,NA,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,MSX1,Msx1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,TGM2,Tgm2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
